id;nombre;apellidos;dni;fecha_nacimiento;fecha_carnet
1;calculating;24/7 1080p back-end;intuitive Amarillo;2023-04-10T17:58:03;2023-04-10T17:33:20
2;arquitectura world-class;optimize 24/365 disintermediate;monitor matrix wireless;2023-04-10T16:07:11;2023-04-09T20:24:02
3;bypass Investment Inversor;Camiseta Buckinghamshire Auto;Botswana;2023-04-10T18:49:46;2023-04-10T15:34:55
4;partnerships viral;systems;withdrawal;2023-04-10T03:36:59;2023-04-10T12:23:08
5;Global bandwidth;Increible;producto;2023-04-10T07:47:18;2023-04-10T14:24:41
6;Toallas Sabroso paralelismo;Amarillo Granada;Comunicaciones adaptador;2023-04-09T22:53:17;2023-04-10T11:43:20
7;Borders Hormigon Namibia;Diseñador;HTTP Genérico protocol;2023-04-10T13:37:42;2023-04-09T22:28:02
8;Pizza input generate;pixel Berkshire;Koruna navigating;2023-04-10T01:08:57;2023-04-10T08:54:07
9;Bricolaje Guapo;Plástico;Enfocado archivo hack;2023-04-09T21:39:50;2023-04-10T08:40:57
10;Humano Inteligente;relationships Especialista Relacciones;copying;2023-04-10T14:59:44;2023-04-10T04:37:28
