id;nombre;apellidos;codigo_empleado;dni
1;Gerente parsing;sensor Guantes;direccional;infomediaries Terrenos deliverables
2;quantify Humano;Borders Coordinador;Salud RAM;Plástico Innovador Contabilidad
3;array Navarra;cross-platform;Mascotas;array deposit Investment
4;invoice Tonga Grupo;markets program;optical Extremadura;panel
5;GB parsing;Estonia fidelidad;Verde enterprise grupo;up
6;Intercambiable solid;Director;parsing Auto Rambla;deposit Supervisor
7;Aragón blockchains Investment;auxiliary;card Plástico;Papelería Leona
8;Supervisor circuit Baleares;Electrónica;Pescado orchestrate Violeta;Naira Investment Borders
9;Poblado Caserio Digitalizado;COM;sistémica Guapo;Explanada
10;niches;withdrawal;SSL Directo de;Haiti Senda Realineado
